aah	00856756.v
shell	01125123.v
shell	01500797.v
shell	01393987.v
shell	01305199.v
shell	01091005.v
shell	00194765.v
shell	00178566.v
shell_out	02272900.v
shell_stitch	01657918.v
shellac	01259084.v
shellack	01259084.v
shelter	02631067.v
shelter	02250445.v
shelve	02617464.v
shelve	01484644.v
shepherd	02525896.v
shepherd	02525772.v
shew	00656725.v
shield	01119405.v
shield	02128870.v
shift	00376001.v
shift	01865741.v
shift	01994100.v
shift	01876315.v
shift	00550033.v
shift	00550240.v
shift	00543502.v
shift	01867371.v
shift	01847214.v
shift	00994967.v
shift	00578931.v
shift	00545654.v
shift	00544706.v
shill	02550867.v
shillyshally	02680752.v
shillyshally	02616888.v
shimmer	02737921.v
shimmer	02680844.v
shimmy	01853957.v
shimmy	01739960.v
shin	01903852.v
shine	02740395.v
shine	02738211.v
shine	02143438.v
shine	02709008.v
shine	02630635.v
shine	02141649.v
shine	02737754.v
shine	02586870.v
shine	01812603.v
shine	01234051.v
shine_at	02648652.v
shine_up	01787585.v
shingle	01222861.v
shinny	01903852.v
ship	01932735.v
ship	02386272.v
ship	01961145.v
ship	01830225.v
ship	01483872.v
shipwreck	02535300.v
shipwreck	02504960.v
shipwreck	02092090.v
shipwreck	01552805.v
shirk	02439844.v
shirk	00803196.v
shirr	00318891.v
shirt	00048444.v
shit	00833034.v
shit	00073307.v
shiver	01871343.v
shiver	00014221.v
shlep	01892953.v
shlep	01441011.v
shmoose	01028626.v
shmooze	01028626.v
shnorr	02248794.v
shoal	00530791.v
shoal	00530636.v
shock	01791896.v
shock	01793304.v
shock	01766018.v
shock	01548687.v
shock	01374101.v
shock	00089548.v
shock	00089348.v
shoe	00049004.v
shoehorn	00298022.v
shoetree	00315534.v
shoo	01985237.v
shoo_away	01985237.v
shoo_off	01985237.v
shoot	01126338.v
shoot	02460691.v
shoot	01124017.v
shoot	00992658.v
shoot	02077320.v
shoot	02043147.v
shoot	02036948.v
shoot	01583769.v
shoot	00993167.v
shoot	02742730.v
shoot	02103545.v
shoot	01572236.v
shoot	01506390.v
shoot	01424653.v
shoot	01184581.v
shoot	01073749.v
shoot	00975493.v
shoot	00639761.v
shoot	00353356.v
shoot	00085500.v
shoot_a_line	00873920.v
shoot_craps	01128022.v
shoot_down	02036948.v
shoot_down	01962962.v
shoot_down	02449809.v
shoot_for	00697401.v
shoot_one's_mouth_off	00816963.v
shoot_the_breeze	01028178.v
shoot_up	00428079.v
shop	02303761.v
shop	02442256.v
shop	02304148.v
shop	00833034.v
shop_at	02442256.v
shoplift	02255759.v
shore	02687072.v
shore	01963119.v
shore	01207684.v
shore_up	01207684.v
short	02548024.v
short	01604495.v
short-change	02548024.v
short-change	02547476.v
short-circuit	02534498.v
short-circuit	01604495.v
short-circuit	00802486.v
shorten	00313191.v
shorten	00240702.v
shorten	00555480.v
shorten	00312917.v
shorten	00198055.v
shortlist	00650772.v
shoulder	01227788.v
shoulder	01227336.v
shoulder	01227483.v
shoulder_in	01856482.v
shout	00903141.v
shout	00903733.v
shout	00902716.v
shout	00836339.v
shout_down	01792641.v
shout_out	00903733.v
shout_out	00905933.v
shove	01854091.v
shove	01571414.v
shove	02075894.v
shove_along	01831697.v
shove_off	01831697.v
shovel	01301196.v
shovel_in	02268484.v
shovel_in	01162860.v
show	02129054.v
show	00656725.v
show	01005161.v
show	02117319.v
show	01671832.v
show	00934313.v
show	00914463.v
show	02124270.v
show	02119695.v
show	00913537.v
show	00913977.v
show	01982304.v
show	01075832.v
show_off	02122124.v
show_the_door	01456220.v
show_up	00419402.v
show_up	02119695.v
shower	02243412.v
shower	01360805.v
shower	00034750.v
shower	02731970.v
shower	01173097.v
shower_down	02731970.v
shred	01560641.v
shriek	00905088.v
shrill	00905088.v
shrimp	01131270.v
shrine	01470081.v
shrink	00238611.v
shrink	02042721.v
shrink	00237978.v
shrink	00237511.v
shrink	00149995.v
shrink_back	02043018.v
shrink_from	02439844.v
shrinkwrap	01272417.v
shrive	00810773.v
shrivel	00238611.v
shrivel	00149995.v
shrivel_up	00238611.v
shroud	01568913.v
shroud	02725080.v
shroud	01288842.v
shrug	00033446.v
shrug_off	00733674.v
shuck	00194977.v
shuck	00177267.v
shudder	00014221.v
shudder	01871343.v
shuffle	01899629.v
shuffle	01994729.v
shuffle	01406465.v
shun	00803464.v
shun	02479874.v
shunt	01993983.v
shunt	02047561.v
shush	00386479.v
shut	01333199.v
shut	01334870.v
shut	02425679.v
shut_away	01335570.v
shut_down	02402800.v
shut_in	01573739.v
shut_off	02654730.v
shut_off	02013574.v
shut_off	01464553.v
shut_one's_mouth	00928122.v
shut_out	02425679.v
shut_up	01030525.v
shut_up	01335570.v
shut_up	00456564.v
shutter	01231425.v
shuttle	02043757.v
shuttlecock	01136632.v
shy	01892761.v
shy	01496579.v
shy_away_from	00803310.v
sibilate	01044845.v
sibilate	01043840.v
sibilate	01043627.v
sibilate	01043212.v
sic	01104151.v
sick	00075583.v
sicken	01791206.v
sicken	00086616.v
sicken	02175248.v
sicken	00087371.v
side	01137910.v
side	02680189.v
side-slip	01853453.v
sideline	02376354.v
sidestep	00801146.v
sideswipe	01262750.v
sidetrack	02047980.v
sidle	01851710.v
sidle	01851607.v
sidle_up	01787585.v
sieve	02377053.v
sieve	01447870.v
sieve	01447305.v
sieve	00667734.v
sieve_out	00669510.v
sift	02080100.v
sift	01447305.v
sift	01447870.v
sift	00667734.v
sigh	00004032.v
sigh	00976074.v
sight	02144053.v
sight-read	01700388.v
sight-read	00620240.v
sight-sing	01700647.v
sightread	01700388.v
sightsee	01826548.v
sightsing	01700647.v
sign	00986620.v
sign	02441006.v
sign	00879922.v
sign	02386375.v
sign	01028794.v
sign	01485415.v
sign	00919635.v
sign	00858211.v
sign_away	02321439.v
sign_in	00956622.v
sign_off	00964322.v
sign_on	02386375.v
sign_over	02321439.v
sign_up	02386375.v
sign_up	01086419.v
signal	01028794.v
signal	00911970.v
signalise	02275328.v
signalise	01028794.v
signalise	00915076.v
signalise	00913108.v
signalize	02275328.v
signalize	01028794.v
signalize	00915076.v
signalize	00913108.v
signify	00922327.v
signify	00922781.v
signify	01029318.v
signpost	00912990.v
silence	00456564.v
silence	00458078.v
silhouette	02118434.v
silhouette	01665505.v
silkscreen	01734219.v
silt	01466686.v
silt_up	01466686.v
silver	01383286.v
silver	00286052.v
silver	00279248.v
silver-plate	01384121.v
silverplate	01384121.v
simmer	00320745.v
simmer_down	01747071.v
simonise	01233904.v
simonize	01233904.v
simper	00029269.v
simplify	00396151.v
simulate	01727567.v
simulate	01707763.v
simulate	01706537.v
sin	02541356.v
sin	02541896.v
sing	01715785.v
sing	01714185.v
sing	01057258.v
sing	01033351.v
sing	00927710.v
sing_along	01713378.v
singe	00374363.v
singe	00577264.v
single	01397190.v
single-foot	01942424.v
single_crochet	01658216.v
single_out	00671206.v
single_out	02488136.v
single_stitch	01658216.v
singsong	01039629.v
singsong	02076969.v
singularise	00913311.v
singularize	00913311.v
sink	01967606.v
sink	01968549.v
sink	01953814.v
sink	01971548.v
sink	01953612.v
sink	02021375.v
sink	00428346.v
sink	01970561.v
sink	01517227.v
sink_in	00584564.v
sink_in	01445247.v
sinter	01646112.v
sip	01159564.v
siphon	01836129.v
siphon	01599641.v
siphon_off	01836129.v
sire	00053862.v
siss	01043627.v
siss	01043212.v
sit	01530257.v
sit	02666949.v
sit	01966585.v
sit	02006622.v
sit	02122926.v
sit	01939466.v
sit	02432372.v
sit	01531132.v
sit_back	00026874.v
sit_back	02351345.v
sit_by	02351345.v
sit_down	01966585.v
sit_down	01531132.v
sit_down	01530257.v
sit_in	02588034.v
sit_in	02519246.v
sit_out	02702216.v
sit_out	00662144.v
sit_tight	00116656.v
sit_up	00020223.v
sit_up	02079953.v
site	02311450.v
situate	02668919.v
situate	01562425.v
size	01596546.v
size	00647961.v
size	00315637.v
size_up	02133572.v
sizz	01043627.v
sizz	01043212.v
sizzle	00853571.v
sizzle	01751060.v
sizzle	00373748.v
skank	02030281.v
skate	01918734.v
skate_over	02492111.v
skateboard	01919776.v
skedaddle	02057458.v
sketch	01682491.v
sketch	00996339.v
skew	00461555.v
skewer	01432011.v
ski	01920407.v
ski_jump	01947242.v
skid	01853278.v
skid	01956804.v
skid	01853628.v
skid	01852686.v
skim	01924665.v
skim	01235972.v
skim	02132463.v
skim	01503011.v
skim	01249667.v
skim	01249422.v
skim	00620385.v
skim_off	01249422.v
skim_off	00669411.v
skim_over	00620385.v
skim_over	01235972.v
skimcoat	01349897.v
skimp	02492293.v
skimp	02485651.v
skimp	02323121.v
skimp	02205026.v
skimp_over	02492111.v
skin	01903852.v
skin	01297864.v
skin	01252206.v
skin	01251340.v
skin-dive	01945063.v
skin_over	00098094.v
skin_pop	01188574.v
skinny-dip	01944431.v
skip	00608686.v
skip	02588754.v
skip	01948772.v
skip	01992454.v
skip	01875131.v
skip	01503011.v
skip-bomb	01122116.v
skip_over	00608686.v
skip_town	00423258.v
skipper	02423340.v
skirl	02157901.v
skirl	01711527.v
skirmish	01113001.v
skirt	00801146.v
skirt	02033771.v
skirt	02677664.v
skirt	01454632.v
skitter	01884569.v
skitter	01870445.v
skitter	01503011.v
skitter	01436228.v
skittle	01135897.v
skive	01237450.v
skreak	02151933.v
skreak	01038403.v
skreigh	01038403.v
skulk	02614703.v
skulk	02440272.v
skulk	01900601.v
skunk	01092749.v
sky	01499712.v
sky_dive	01949956.v
skydive	01949956.v
skyjack	01459410.v
skylark	01866113.v
skyrocket	01926033.v
slabber	00101940.v
slack	02440482.v
slack	00608549.v
slack	00531183.v
slack	00436598.v
slack	00435966.v
slack	00242091.v
slack	00241861.v
slack	00211623.v
slack_off	00241861.v
slack_up	00436598.v
slacken	00435966.v
slacken	00436598.v
slacken	00417108.v
slacken	00416825.v
slacken_off	00153748.v
slag	00580418.v
slake	01192737.v
slake	00242091.v
slake	00211623.v
slalom	01921018.v
slam	01231261.v
slam	01230820.v
slam	01880218.v
slam	01231118.v
slam-dunk	02578105.v
slam-dunk	01584315.v
slam_dance	01880218.v
slam_on	01352918.v
slander	00837549.v
slang	00954398.v
slang	00845926.v
slang	00836698.v
slant	02666625.v
slant	00672481.v
slant	02020053.v
slant	01866974.v
slap	01404669.v
slap_on	01352918.v
slap_together	01608976.v
slash	01310931.v
slash	01398901.v
slash	01310765.v
slash	00425768.v
slash	01873189.v
slat	02314445.v
slat	01209208.v
slate	00701745.v
slate	02373781.v
slate	01326458.v
slather	01367260.v
slaughter	01311110.v
slaughter	00474158.v
slave	02397541.v
slaver	00101940.v
slay	02458546.v
sled	01921155.v
sledge	01936678.v
sledge	01828743.v
sledge	01404530.v
sledgehammer	01404530.v
sleek	01234400.v
sleek_down	00038178.v
sleek_over	02128375.v
sleep	00014762.v
sleep	02675432.v
sleep_in	00015826.v
sleep_in	01166075.v
sleep_late	00015826.v
sleep_off	02266497.v
sleep_out	01166266.v
sleep_over	02627303.v
sleep_with	01414190.v
sleepwalk	01899040.v
sleet	02733573.v
sleigh	01921155.v
slenderise	00322684.v
slenderize	00322684.v
slenderize	00045272.v
sleuth	00777025.v
slew	02015043.v
slew	01852686.v
slice	01546029.v
slice	01396774.v
slice	01242881.v
slice	01113625.v
slice_into	01898113.v
slice_through	01898113.v
slice_up	01242881.v
slick	01234400.v
slick	00038178.v
slick_down	00038178.v
slick_up	00290491.v
slick_up	00042777.v
slide	01852686.v
slide	01868885.v
slide	02072315.v
slide_by	02054525.v
slide_down	01970561.v
slight	00609619.v
slim	00045272.v
slim_down	00045272.v
slime	01241134.v
sling	01501435.v
slink	01899203.v
slip	01870692.v
slip	00186690.v
slip	01852686.v
slip	00201422.v
slip	02057974.v
slip	00609954.v
slip	02210609.v
slip	00601364.v
slip	00460833.v
slip_away	02057721.v
slip_away	02054525.v
slip_by	02054525.v
slip_in	01015502.v
slip_off	00050604.v
slip_on	00050404.v
slip_one's_mind	00601364.v
slip_up	00610263.v
slit	01546029.v
slit	01545857.v
slither	01868885.v
sliver	02445395.v
sliver	00334110.v
sliver	00141900.v
slobber	00101940.v
slobber_over	01810601.v
slog	02391915.v
slog	01903284.v
slog	01403401.v
sloganeer	01683015.v
slop	01529341.v
slop	01903671.v
slop	01566062.v
slop	01166981.v
slope	02018786.v
slosh	02166941.v
slosh	01903671.v
slosh	01362398.v
slosh_around	01362398.v
slot	00671078.v
slouch	01971395.v
slouch	01911908.v
slough	00009185.v
slough_off	02202139.v
slough_off	01243316.v
slow	00435344.v
slow	00435966.v
slow	00436172.v
slow_down	00435344.v
slow_down	00435966.v
slow_down	00436172.v
slow_down	00433881.v
slow_down	00026318.v
slow_up	00435966.v
slow_up	00436172.v
slow_up	00435344.v
slue	02015043.v
slue	01852686.v
slug	01403401.v
slug	02393846.v
sluice	02732718.v
sluice	00450439.v
sluice	01836588.v
sluice	01836469.v
sluice_down	02732718.v
slum	02468815.v
slumber	00014762.v
slump	01971395.v
slump	01970561.v
slump	00428346.v
slump	01953286.v
slur	01712631.v
slur	01034355.v
slur	01034275.v
slur	00307317.v
slur_over	02492111.v
slurp	01158205.v
slush	02166941.v
slush	01362398.v
slush_around	01362398.v
smack	01402732.v
smack	02174825.v
smack	02174597.v
smack	01419611.v
smack	01186121.v
smart	02102534.v
smarten_up	00290491.v
smarten_up	00042777.v
smash	01389564.v
smash	00332250.v
smash	02296182.v
smash	02085471.v
smash	01783045.v
smash	01553472.v
smash	01548557.v
smash	01548382.v
smash	01072859.v
smash	00330976.v
smash_up	01553472.v
smatter	02392372.v
smatter	01027162.v
smatter	00954249.v
smear	01240829.v
smear	01240332.v
smear	01222025.v
smear	00837549.v
smell	02105118.v
smell	02104042.v
smell	02104702.v
smell_out	02105830.v
smell_up	02106391.v
smelt	01666789.v
smile	00028498.v
smile	01056954.v
smirch	01241005.v
smirch	00837549.v
smirk	00029269.v
smite	01384437.v
smite	01752654.v
smite	00256542.v
smock	01662402.v
smoke	01187014.v
smoke	02742393.v
smoke_out	02038535.v
smolder	00373411.v
smolder	01755695.v
smooch	01413477.v
smooth	01241375.v
smooth	01234051.v
smooth	02291094.v
smooth_out	02291094.v
smooth_over	02492111.v
smoothen	01241375.v
smoothen	01234051.v
smoothen	00541828.v
smother	01555653.v
smother	01555948.v
smother	01555397.v
smother	02724945.v
smother	01555784.v
smoulder	01755695.v
smoulder	00373411.v
smudge	01240332.v
smuggle	02323479.v
smut	00578280.v
smut	00283318.v
smut	00207479.v
smut	00088316.v
smutch	01240332.v
snack	01162166.v
snaffle	02282874.v
snaffle	01289210.v
snafu	00398740.v
snag	01316410.v
snag	02330711.v
snag	01248997.v
snail	01370710.v
snake	01870562.v
snake	02714624.v
snake	01865607.v
snap	00906942.v
snap	01560265.v
snap	00333272.v
snap	01876098.v
snap	00351699.v
snap	02162906.v
snap	02070274.v
snap	01427254.v
snap	01390664.v
snap	01230637.v
snap	01767291.v
snap	00993167.v
snap_at	01433204.v
snap_off	01287346.v
snap_up	02282874.v
snare	01467911.v
snare	00774377.v
snarf	02255322.v
snarl	00906942.v
snarl	00907188.v
snarl	01450204.v
snarl	00398555.v
snarl_up	00398555.v
snatch	01427254.v
snatch	01201826.v
snatch	01458315.v
snatch_up	01427254.v
sneak	01893968.v
sneak	02572869.v
sneak	02255322.v
sneak	02210609.v
sneak_away	02057721.v
sneak_in	01217503.v
sneak_in	01015502.v
sneak_off	02057721.v
sneak_out	02057721.v
sneak_up	01974887.v
sneer	00032269.v
sneer	00032030.v
sneeze	00004819.v
snick	01396305.v
snick	01247545.v
snicker	00029943.v
sniff	02105402.v
sniff	00007587.v
sniff_out	02105830.v
sniffle	00066514.v
sniffle	00007587.v
snigger	00029943.v
snip	01443756.v
snip	01309254.v
snip_off	01443756.v
snipe	01124884.v
snipe	01124702.v
snipe	00853663.v
snitch	02300247.v
snitch	00833034.v
snivel	01031995.v
snivel	00100745.v
snivel	00066514.v
snog	01413477.v
snooker	02553608.v
snooker	01063500.v
snoop	00777025.v
snooze	00015323.v
snore	00017051.v
snorkel	01945706.v
snort	01034537.v
snort	00006561.v
snort	01189158.v
snort	01188668.v
snow	02733296.v
snow	00830337.v
snow-blind	02149113.v
snowball	00155598.v
snowball	01495252.v
snowboard	02085958.v
snowmobile	01939210.v
snowshoe	02084549.v
snub	01049006.v
snub	00789997.v
snuff	02106521.v
snuff	00108112.v
snuff_it	00354455.v
snuff_out	00473199.v
snuff_out	02736216.v
snuffle	02106521.v
snuffle	00100745.v
snuffle	00066514.v
snuggle	01412716.v
snuggle	01413116.v
soak	01565087.v
soak	02297067.v
soak	00213215.v
soak	02324843.v
soak	01385663.v
soak	01179272.v
soak	01179055.v
soak	00451222.v
soak	00368128.v
soak_through	01591996.v
soak_up	01526192.v
soak_up	00593449.v
soap	00036423.v
soar	01925665.v
soar	01937745.v
soar	01925285.v
soar	00152666.v
soar	01924906.v
soar_up	01925665.v
soar_upwards	01925665.v
sob	00066369.v
sober	00146906.v
sober	00146733.v
sober	00146555.v
sober_up	00146555.v
sober_up	00146733.v
socialise	02365718.v
socialise	02363611.v
socialise	00401777.v
socialise	00401577.v
socialize	02365718.v
socialize	02363611.v
socialize	00401777.v
socialize	00401577.v
sock	01384881.v
sod	01323801.v
sodomise	02544190.v
sodomise	02544010.v
sodomize	02544190.v
sodomize	02544010.v
soft-pedal	00831348.v
soft-soap	00760802.v
soft-soap	00760704.v
soft-solder	01582089.v
soften	02170705.v
soften	00385953.v
soften	02677242.v
soften	01563667.v
soften	01047478.v
soften	00252022.v
soften	00251500.v
soil	01521276.v
sojourn	02685513.v
solace	01797689.v
solarise	02094898.v
solarise	02094521.v
solarise	02094315.v
solarise	02093011.v
solarize	02094898.v
solarize	02094521.v
solarize	02094315.v
solarize	02093011.v
solder	01581744.v
soldier	01086141.v
sole	00528051.v
solemnise	02554459.v
solemnise	02465869.v
solemnise	00574122.v
solemnize	02554459.v
solemnize	02465869.v
solemnize	00574122.v
solicit	00773391.v
solicit	02510245.v
solicit	00772986.v
solicit	00762501.v
solicit	00745278.v
solidify	00440820.v
solidify	00440522.v
soliloquise	00954766.v
soliloquize	00954766.v
solmizate	01716107.v
solmizate	01715138.v
solo	01923934.v
solo	01699903.v
solvate	00442048.v
solvate	00441867.v
solve	00627467.v
solve	00724716.v
solve	00752906.v
somersault	01850108.v
somnambulate	01899040.v
sonnet	01688593.v
sonnet	01688476.v
soot	01250874.v
soothe	01797689.v
soothe	00063192.v
sop	02262884.v
sop	01591996.v
sop	01564263.v
sop	00213215.v
sop_up	01526192.v
sop_up	01186893.v
sophisticate	02365532.v
sophisticate	00923255.v
sophisticate	00483312.v
sophisticate	00398113.v
sorb	01527583.v
sorcerise	00379261.v
sorcerize	00379261.v
sorrow	01780176.v
sort	02377053.v
sort	00646598.v
sort_out	00646598.v
sort_out	00613474.v
sort_out	02529138.v
sough	01487969.v
sough	01034883.v
sough	00959671.v
sound	02115139.v
sound	02156490.v
sound	02115260.v
sound	02160584.v
sound	00942613.v
sound	02159573.v
sound	00486571.v
sound_off	01017568.v
sound_off	01636345.v
sound_off	00897850.v
sound_out	00968840.v
sound_out	00800563.v
soundproof	00490387.v
soup	00084426.v
soup_up	00168175.v
sour	00453542.v
sour	02176747.v
source	02217450.v
source	00658659.v
souse	00213215.v
souse	01563843.v
souse	01179055.v
souse	00318297.v
sovietise	02410494.v
sovietise	01728947.v
sovietize	02410494.v
sovietize	01728947.v
sow	01487969.v
sow	00959671.v
sow	01488451.v
sow_in	01488451.v
sow_one's_oats	01180957.v
sow_one's_wild_oats	01180957.v
space	01969755.v
spacewalk	01888283.v
spade	01298635.v
spam	01022382.v
span	02659604.v
spang	01225370.v
spangle	02143674.v
spangle	01654923.v
spank	01408708.v
spar	02340268.v
spar	01408102.v
spar	01407992.v
spar	00765256.v
spare	02440723.v
spare	02540361.v
spare	02323270.v
spare	01147320.v
sparge	01872620.v
sparge	00225580.v
spark	01628963.v
spark	02741158.v
spark_off	01628963.v
sparkle	02740861.v
sparkle	00467985.v
sparkle	02741158.v
sparkle	00514102.v
spat	02731501.v
spat	01525914.v
spat	01226490.v
spat	00852909.v
spat	00766151.v
spat	00056105.v
spat	00033606.v
spatchcock	01650349.v
spatchcock	01624898.v
spatter	01361831.v
spatter	02732147.v
spatter	01525758.v
spawn	01634258.v
spawn	00055959.v
spay	00059753.v
speak	00932466.v
speak	00952735.v
speak	00953858.v
speak	00979439.v
speak	02115837.v
speak_for	02517905.v
speak_in_tongues	00923696.v
speak_of_the_devil	00873375.v
speak_up	01017568.v
speak_up	00906791.v
spear	01432335.v
spear	02690260.v
spear_up	02690260.v
spearhead	02416949.v
specialise	02422505.v
specialise	01011891.v
specialise	00433191.v
specialise	00432956.v
specialise	00117000.v
specialize	00432956.v
specialize	01011891.v
specialize	00433191.v
specialize	02422505.v
specialize	00117000.v
speciate	00117000.v
specify	01008846.v
specify	02586524.v
specify	00937554.v
specify	01011891.v
specify	00707443.v
specify	00701278.v
specify	00669649.v
speck	01261902.v
speckle	01525598.v
speckle	01525439.v
spectate	02131868.v
speculate	00626004.v
speculate	00917513.v
speculate	00622941.v
speculate	02250718.v
speech-read	00620531.v
speechify	00980246.v
speed	02040663.v
speed	00433564.v
speed	02037656.v
speed	02037330.v
speed	00434729.v
speed_skate	01920269.v
speed_up	00433564.v
speed_up	00434729.v
spell	00928382.v
spell	00923093.v
spell	01684759.v
spell	02388726.v
spell	01054002.v
spell	00119121.v
spell_out	00995822.v
spell_out	01685012.v
spell_out	00928382.v
spellbind	01803988.v
spellbind	00768856.v
spellbind	00020890.v
spelunk	00641891.v
spend	02683126.v
spend	02245818.v
spend	02246251.v
spend_a_penny	00071280.v
spew	00100922.v
spew	00076254.v
spew	00075583.v
spew_out	00076254.v
sphacelate	00096399.v
spice	00554506.v
spice	02172679.v
spice_up	02172679.v
spice_up	00554506.v
spiel	01709242.v
spiel	00953443.v
spiel_off	00936125.v
spiff_up	00290491.v
spike	02533776.v
spike	01431774.v
spike	01294561.v
spike	00291232.v
spike	00219134.v
spike	00154482.v
spike_out	00291232.v
spill	01529341.v
spill	02051564.v
spill	01528713.v
spill	01528937.v
spill	00943272.v
spill_out	02051826.v
spill_over	01746343.v
spill_over	02051826.v
spill_the_beans	00927710.v
spin	02028449.v
spin	02049738.v
spin	02029746.v
spin	01624806.v
spin	01624670.v
spin	01505978.v
spin	00944131.v
spin	00315129.v
spin-dry	00212362.v
spin_around	02028449.v
spin_off	00341213.v
spin_out	00315129.v
spiral	02030885.v
spiral	02714192.v
spiral	02031256.v
spirit	00190151.v
spirit_away	01422529.v
spirit_away	01420628.v
spirit_off	01422529.v
spirit_up	00190151.v
spiritise	01218268.v
spiritize	01218268.v
spiritualise	00616363.v
spiritualise	00471295.v
spiritualize	00616363.v
spiritualize	00575069.v
spiritualize	00471295.v
spirt	02050089.v
spirt	01866523.v
spit	00100922.v
spit	01034782.v
spit	02732147.v
spit	01432011.v
spit_out	00101269.v
spit_out	01034782.v
spit_out	00006276.v
spit_up	02179927.v
spit_up	00006276.v
spite	01776028.v
splash	01362578.v
splash	01903671.v
splash	01361831.v
splash	01324954.v
splash	02166941.v
splash	01521738.v
splash	01363106.v
splash_around	02395955.v
splat	02153735.v
splat	00459244.v
splat	00458704.v
splatter	01529341.v
splatter	01361831.v
splay	02027349.v
splay	02027109.v
splay	00460833.v
splice	01547158.v
splice	02465577.v
splice	01547008.v
splice	01546842.v
splint	00082823.v
splinter	02511210.v
splinter	02445395.v
splinter	00334110.v
split	02443783.v
split	01543546.v
split	02407743.v
split	02011906.v
split	00305572.v
split_up	02466755.v
split_up	02443783.v
split_up	02407743.v
split_up	00330513.v
splosh	02166941.v
splosh	01903671.v
splosh	01362578.v
splosh	01361831.v
splotch	01519458.v
splurge	02247725.v
splurge	02122564.v
splutter	00977171.v
splutter	00101269.v
spoil	02503449.v
spoil	00207257.v
spoil	00200112.v
spoil	02545885.v
spoil	02533858.v
spoil	01808617.v
spoil	01552239.v
spoil	00472923.v
spondaise	01688058.v
spondaize	01688058.v
sponge	01380456.v
sponge	02249033.v
sponge	01536031.v
sponge	01381404.v
sponge	01371439.v
sponge_down	01239199.v
sponge_down	00036176.v
sponge_off	01239199.v
sponge_on	01352795.v
sponge_up	01526616.v
sponsor	02199365.v
sponsor	02199573.v
sponsor	02442256.v
spoof	00840979.v
spook	01813821.v
spool	02212447.v
spool	01510037.v
spoon	01566196.v
spoon	01413477.v
spoonfeed	01168399.v
spoonfeed	00779193.v
sport	02606275.v
sport	01866113.v
sportscast	00959561.v
sporulate	01737335.v
sporulate	00114336.v
spot	02134497.v
spot	01525290.v
spot	01519127.v
spot	00504676.v
spot	00504325.v
spot-check	00656048.v
spot-weld	01582540.v
spot_jam	01047151.v
spot_promote	02374989.v
spotlight	00508900.v
spotlight	00288737.v
spotweld	01582540.v
spout	02050089.v
spout	01041420.v
sprain	00090286.v
sprawl	01530560.v
sprawl	02013975.v
spray	01361655.v
spray	01360493.v
spray	01361362.v
spray-dry	00212660.v
spread	01366367.v
spread	01367933.v
spread	02663506.v
spread	01566387.v
spread	00958705.v
spread	00960182.v
spread	02064127.v
spread	02041798.v
spread	01598169.v
spread	01598014.v
spread-eagle	00027503.v
spread-eagle	02664784.v
spread-eagle	01919048.v
spread-eagle	01530760.v
spread-eagle	01093304.v
spread_out	02041798.v
spread_out	01348476.v
spread_out	02064127.v
spread_out	02058594.v
spread_out	02027109.v
spread_out	02010742.v
spread_out	01566387.v
spread_over	01196649.v
spreadeagle	01093304.v
spree	01171320.v
spring	01945853.v
spring	02598593.v
spring	01874501.v
spring	00094276.v
spring	00926329.v
spring-clean	01520980.v
spring_to_mind	00601738.v
spring_up	02598950.v
sprinkle	01364056.v
sprinkle	01362578.v
sprinkle	02732147.v
sprinkle	00225580.v
sprint	01910663.v
spritz	01302166.v
spritz	01301978.v
sprout	00353356.v
sprout	00094382.v
spruce	00290491.v
spruce	00042777.v
spruce_up	00290491.v
spruce_up	00042777.v
spud	01430938.v
spud	00353356.v
spue	00100922.v
spue	00075583.v
spume	00506686.v
spur	02530333.v
spur	01801691.v
spur	01229919.v
spur	01229682.v
spur	01229808.v
spurn	00788442.v
spurt	02050089.v
spurt	01866523.v
sputter	02166433.v
sputter	00550587.v
sputter	01903852.v
sputter	00977171.v
sputter	00101269.v
spy	02134497.v
spy	00777025.v
spy	00776805.v
squabble	00765390.v
squall	01036727.v
squall	00903733.v
squall	02744490.v
squander	02247073.v
squander	01147017.v
square	00632716.v
square	00143034.v
square	02634340.v
square	01969173.v
square	02634225.v
square	02232267.v
square	01114200.v
square	01114064.v
square_away	00272472.v
square_dance	01881226.v
square_off	00754851.v
square_up	00143034.v
square_up	01969328.v
square_up	00754851.v
squash	01580420.v
squat	01532288.v
squat	02701235.v
squat	02624392.v
squawk	01038403.v
squawk	00901660.v
squeak	02151933.v
squeak_by	02563726.v
squeak_by	01236106.v
squeak_through	01236106.v
squeal	01044135.v
squeal	00810773.v
squeegee	01380583.v
squeeze	01580420.v
squeeze	01435179.v
squeeze	01514427.v
squeeze	02480419.v
squeeze	02220021.v
squeeze	02075894.v
squeeze	01444064.v
squeeze	01412224.v
squeeze	01375579.v
squeeze_by	02563726.v
squeeze_for	02481925.v
squeeze_out	02380509.v
squeeze_out	02218911.v
squeeze_out	01337210.v
squeeze_out	02218760.v
squeeze_out	01660673.v
squeeze_out	01363448.v
squelch	00458305.v
squelch	02159334.v
squelch	01903671.v
squelch	01580420.v
squinch	02044901.v
squinch	02042721.v
squinch	00008640.v
squint	00008640.v
squint	02148353.v
squint	00008837.v
squire	02007951.v
squirm	01850781.v
squirrel_away	02284082.v
squirt	01363448.v
squirt	01301797.v
squish	01903671.v
squish	01599839.v
stab	01220290.v
stab	01218987.v
